ABSL banking and finance,,ABSL frontline equity,,ABSL new millenum,,ABSL top 100 fund,,HDFC Large cap,,hdfc top 200,,ICICI banking,,ICICI FMCG ,,ICICI Bluechip,,ICICI Tech,,Relaince Pharma fund-Direct,,SBI Banking & Financial Services Fund - Direct Plan (G),,SBI Blue Chip Fund - Direct Plan (G),,SBI FMCG Fund - Direct Plan (G),,SBI IT Fund - Direct Plan (G),,SBI Magnum Equity Fund - Direct Plan (G),,SBI Pharma Fund - Direct Plan (G),,Sundaram equity plus,,Tata Banking and Financial Services Fund - Direct Plan (G),,Tata Digital India Fund - Direct Plan (G),,Tata India Pharma & HealthCare Fund - Direct Plan (G),,Tata Large Cap Fund - Direct Plan (G),,UTI BANKING ,,uti equity fund ,,UTI Pharma,,Uti top 100,,ABSL banking and finance,,ABSL frontline,,ABSL new millenium,,ABSL top 100 fund,,Hdfc largecap fund,,HDFC top 200,,ICICI banking,,ICICI FMCG ,,ICICI Bluechip,,ICICI Tech,,Reliance pharma fund,,SBI Banking & Financial Services Fund - Regular Plan (G),,SBI Blue Chip Fund (G),,SBI FMCG Fund (G),,SBI IT Fund (G),,SBI Magnum Equity Fund (G),,SBI Pharma Fund (G),,Sundaram equity plus,,Tata Banking and Financial Services Fund - Regular Plan (G),,Tata Digital India Fund - Regular Plan (G),,Tata India Pharma & HealthCare Fund - Regular Plan (G),,Tata Large Cap Fund - Regular Plan (G),,UTI banking sector,,Uti equity fund,,UTI PHARMA,,Uti top 100,
Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),,,,,Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),,,Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,,,,,,,Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),,,,,Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets(Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),Month,Assets (Rs. cr),,,,,,
Jun-15,18.8,Jun-15,3.4,Jun-15,3.4,Jun-15,113.9,Jun-15,28.7,Jun-15,911.5,Jun-15,121.2,Jun-15,12.4,Jun-15,948.5,Jun-15,33.8,Jun-15,78.5,15-Jun,9.9,15-Jun,201.8,15-Jun,24.8,15-Jun,11.4,15-Jun,89,15-Jun,74,Jun-15,4.4,,,,,,,15-Jun,87.5,Jun-15,33.4,Jun-15,352.2,Jun-15,11.7,Jun-15,10,Jun-15,504.7,Jun-15,"8,071.40",Jun-15,71.4,Jun-15,"1,415.30",Jun-15,1214.7,Jun-15,12486.3,Jun-15,721.2,Jun-15,224.7,Jun-15,"7,941.40",Jun-15,305,Jun-15,1142.1,15-Jun,248.4,15-Jun,"1,737.10",15-Jun,208,15-Jun,76.3,15-Jun,"1,325.40",15-Jun,451.3,Jun-15,54.3,,,,,,,15-Jun,736.6,Jun-15,373.1,Jun-15,3843.7,Jun-15,245.2,Jun-15,825.6
Sep-15,20.3,Sep-15,3.4,Sep-15,3.4,Sep-15,139.1,Sep-15,29.1,Sep-15,1040.1,Sep-15,118.1,Sep-15,14.4,Sep-15,"1,125.60",Sep-15,51.1,Sep-15,101.1,15-Sep,11.3,15-Sep,207,15-Sep,27.9,15-Sep,15.2,15-Sep,92.9,15-Sep,104.3,Sep-15,4.3,,,,,,,15-Sep,93.7,Sep-15,33.5,Sep-15,454.9,Sep-15,15.1,Sep-15,12.8,Sep-15,516.5,Sep-15,"8,516.10",Sep-15,70.3,Sep-15,"1,765.80",Sep-15,1187.3,Sep-15,12149.9,Sep-15,770.6,Sep-15,227,Sep-15,"8,251.70",Sep-15,363.3,Sep-15,1270.9,15-Sep,250.4,15-Sep,"2,321.10",15-Sep,193.5,15-Sep,76.1,15-Sep,"1,142.20",15-Sep,570,Sep-15,49.9,,,,,,,15-Sep,750.5,Sep-15,369.2,Sep-15,3937.1,Sep-15,273.5,Sep-15,870.2
Dec-15,20.4,Dec-15,3.6,Dec-15,3.6,Dec-15,162.9,Dec-15,28.8,Dec-15,1021.5,Dec-15,135.8,Dec-15,16.7,Dec-15,"1,371.70",Dec-15,52.2,Dec-15,127.1,15-Dec,12.3,15-Dec,422,15-Dec,30.7,15-Dec,15.5,15-Dec,108.8,15-Dec,138.7,Dec-15,4.1,15-Dec,0.2,15-Dec,0.4,15-Dec,0.3,15-Dec,97.5,Dec-15,33,Dec-15,596.9,Dec-15,19.4,Dec-15,14,Dec-15,510.6,Dec-15,"8,774.30",Dec-15,70.9,Dec-15,"1,645.30",Dec-15,1130.2,Dec-15,11651.8,Dec-15,746.2,Dec-15,235.4,Dec-15,"8,359.90",Dec-15,374.1,Dec-15,1393.9,15-Dec,242.7,15-Dec,"2,741.60",15-Dec,192.2,15-Dec,73.7,15-Dec,"1,142.80",15-Dec,726.8,Dec-15,46.6,15-Dec,2.1,15-Dec,1.6,15-Dec,2.6,15-Dec,729.8,Dec-15,358.3,Dec-15,4045.9,Dec-15,298.9,Dec-15,863
Mar-16,20.2,Mar-16,2.7,Mar-16,2.7,Mar-16,167.8,Mar-16,27.1,Mar-16,974.6,Mar-16,128.4,Mar-16,17.6,Mar-16,"1,441.30",Mar-16,50.9,Mar-16,258.1,16-Mar,28.3,16-Mar,"1,256.50",16-Mar,53.9,16-Mar,37.8,16-Mar,410.5,16-Mar,290.3,Mar-16,5.1,16-Mar,9.4,16-Mar,17.4,16-Mar,12.4,16-Mar,91.1,Mar-16,57.1,Mar-16,1188.9,Mar-16,36.4,Mar-16,22.7,Mar-16,465.8,Mar-16,"8,459.30",Mar-16,66.7,Mar-16,"1,570.50",Mar-16,1033.6,Mar-16,18402,Mar-16,"1,585.40",Mar-16,226.7,Mar-16,"9,580.30",Mar-16,354.9,Mar-16,3371.9,16-Mar,417.6,16-Mar,"5,981.60",16-Mar,265,16-Mar,97.4,16-Mar,"1,797.20",16-Mar,"1,400.50",Mar-16,77.6,16-Mar,93.8,16-Mar,73,16-Mar,120.6,16-Mar,"1,115.90",Mar-16,512.6,Mar-16,4960.5,Mar-16,444.2,Mar-16,3331.6
Jun-16,24,Jun-16,3.1,Jun-16,3.1,Jun-16,197.2,Jun-16,29.5,Jun-16,1106.2,Jun-16,146.2,Jun-16,21.7,Jun-16,"1,664.40",Jun-16,43.2,Jun-16,131,16-Jun,20.5,16-Jun,"1,218.20",16-Jun,35,16-Jun,14.2,16-Jun,310.7,16-Jun,172.9,Jun-16,4.1,16-Jun,5.6,16-Jun,8.3,16-Jun,7.1,16-Jun,112.4,Jun-16,33.8,Jun-16,673.6,Jun-16,20.3,Jun-16,15.4,Jun-16,534,Jun-16,"9,364.30",Jun-16,69.8,Jun-16,"1,707.30",Jun-16,1084,Jun-16,10941.3,Jun-16,766.9,Jun-16,234.3,Jun-16,"8,820.50",Jun-16,351.9,Jun-16,1292.6,16-Jun,257.9,16-Jun,"4,796.70",16-Jun,202.7,16-Jun,67.1,16-Jun,"1,230.30",16-Jun,822.3,Jun-16,45.9,16-Jun,65.4,16-Jun,44.3,16-Jun,71.1,16-Jun,666.2,Jun-16,378.2,Jun-16,4208.5,Jun-16,291.2,Jun-16,841.7
Sep-16,36.3,Sep-16,2.9,Sep-16,2.9,Sep-16,240.1,Sep-16,32.2,Sep-16,1245,Sep-16,145.2,Sep-16,26.1,Sep-16,"1,928.10",Sep-16,30.2,Sep-16,144.6,16-Sep,27.4,16-Sep,"1,625.30",16-Sep,41.5,16-Sep,12,16-Sep,374.7,16-Sep,190,Sep-16,4.1,16-Sep,6.9,16-Sep,4.5,16-Sep,8.4,16-Sep,128.2,Sep-16,22.3,Sep-16,746.6,Sep-16,22.2,Sep-16,16.7,Sep-16,666.1,Sep-16,"10,717.30",Sep-16,64.2,Sep-16,"2,096.30",Sep-16,1156.3,Sep-16,11778.9,Sep-16,934.7,Sep-16,254.2,Sep-16,"9,738.70",Sep-16,278.6,Sep-16,1385.2,16-Sep,282.3,16-Sep,"6,412.80",16-Sep,227.6,16-Sep,56.1,16-Sep,"1,327.40",16-Sep,880.9,Sep-16,46.4,16-Sep,81.3,16-Sep,40.7,16-Sep,75.5,16-Sep,715.6,Sep-16,456.6,Sep-16,4564.6,Sep-16,312.9,Sep-16,894.2
Dec-16,53.2,Dec-16,3,Dec-16,3,Dec-16,318.5,Dec-16,32.1,Dec-16,1292.6,Dec-16,174.2,Dec-16,25.6,Dec-16,"2,001.70",Dec-16,31.3,Dec-16,158,16-Dec,33.9,16-Dec,"2,201.20",16-Dec,41.7,16-Dec,12.2,16-Dec,381.4,16-Dec,191.8,Dec-16,3.8,16-Dec,8.2,16-Dec,4.6,16-Dec,9.4,16-Dec,127.3,Dec-16,23.5,Dec-16,700.5,Dec-16,21.5,Dec-16,16.1,Dec-16,726.2,Dec-16,"10,960.20",Dec-16,60.5,Dec-16,"1,908.70",Dec-16,1117.2,Dec-16,11411.7,Dec-16,"1,011.80",Dec-16,244.3,Dec-16,"9,635.50",Dec-16,247.5,Dec-16,1397.1,16-Dec,270.4,16-Dec,"7,320.90",16-Dec,214.7,16-Dec,50.5,16-Dec,"1,286.20",16-Dec,861.1,Dec-16,42.3,16-Dec,88.6,16-Dec,38,16-Dec,74.9,16-Dec,682.5,Dec-16,425.9,Dec-16,4327,Dec-16,302.3,Dec-16,835.6
Mar-17,76.8,Mar-17,3.2,Mar-17,3.2,Mar-17,435.1,Mar-17,34.7,Mar-17,1458.8,Mar-17,233.8,Mar-17,27.7,Mar-17,"2,213.00",Mar-17,33,Mar-17,149.7,17-Mar,41.1,17-Mar,"2,814.00",17-Mar,46.3,17-Mar,12.5,17-Mar,438.7,17-Mar,191.9,Mar-17,3.8,17-Mar,10.7,17-Mar,4.8,17-Mar,10,17-Mar,132.5,Mar-17,27,Mar-17,679.9,Mar-17,21.8,Mar-17,17.2,Mar-17,839.9,Mar-17,"11,877.80",Mar-17,61.8,Mar-17,"2,044.20",Mar-17,1170.5,Mar-17,11923.5,Mar-17,"1,266.70",Mar-17,256.1,Mar-17,"10,220.50",Mar-17,261.3,Mar-17,1321.8,17-Mar,294.5,17-Mar,"8,582.50",17-Mar,228.5,17-Mar,49.2,17-Mar,"1,341.20",17-Mar,844.6,Mar-17,41.1,17-Mar,101.2,17-Mar,37.1,17-Mar,71.6,17-Mar,691.1,Mar-17,463.3,Mar-17,4443.4,Mar-17,297.8,Mar-17,855
Jun-17,100.5,Jun-17,4.2,Jun-17,4.2,Jun-17,572.6,Jun-17,37.4,Jun-17,1763.6,Jun-17,337,Jun-17,31.7,Jun-17,"2,503.60",Jun-17,28.7,Jun-17,147,17-Jun,49.5,17-Jun,"3,480.60",17-Jun,56,17-Jun,11.8,17-Jun,541.7,17-Jun,171.3,Jun-17,3.9,17-Jun,17.3,17-Jun,5.6,17-Jun,10.8,17-Jun,83,Jun-17,34,Jun-17,669.1,Jun-17,21.3,Jun-17,20.2,Jun-17,"1,021.00",Jun-17,"13,116.40",Jun-17,61.4,Jun-17,"2,262.80",Jun-17,1231.2,Jun-17,12611.1,Jun-17,"1,576.70",Jun-17,277.3,Jun-17,"10,769.90",Jun-17,224.7,Jun-17,1195.9,17-Jun,345.9,17-Jun,"10,099.40",17-Jun,259.5,17-Jun,46.8,17-Jun,"1,491.80",17-Jun,764.7,Jun-17,40.6,17-Jun,135.5,17-Jun,34.3,17-Jun,67.8,17-Jun,716.4,Jun-17,543.8,Jun-17,4638.7,Jun-17,282.7,Jun-17,873.5
Sep-17,139.5,Sep-17,5.1,Sep-17,5.1,Sep-17,768.2,Sep-17,37.6,Sep-17,2032.7,Sep-17,463.6,Sep-17,38.4,Sep-17,"2,868.70",Sep-17,33.9,Sep-17,164.9,17-Sep,59.2,17-Sep,"3,956.10",17-Sep,66.7,17-Sep,12.5,17-Sep,549.8,17-Sep,188.9,Sep-17,4.1,17-Sep,30.4,17-Sep,6.3,17-Sep,12.7,17-Sep,71.1,Sep-17,41.8,Sep-17,519.2,Sep-17,25.7,Sep-17,23.8,Sep-17,"1,198.00",Sep-17,"14,203.50",Sep-17,62,Sep-17,"2,480.80",Sep-17,1242.5,Sep-17,12909.8,Sep-17,"1,962.50",Sep-17,291,Sep-17,"11,339.60",Sep-17,214.9,Sep-17,1300.3,17-Sep,390.8,17-Sep,"11,360.70",17-Sep,275.1,17-Sep,44.7,17-Sep,"1,550.90",17-Sep,795.1,Sep-17,39,17-Sep,180.5,17-Sep,34.6,17-Sep,76.4,17-Sep,735.5,Sep-17,602,Sep-17,4684.2,Sep-17,294.8,Sep-17,890
Dec-17,170.2,Dec-17,6.7,Dec-17,6.7,Dec-17,961.9,Dec-17,40.4,Dec-17,2135.9,Dec-17,543.6,Dec-17,42.6,Dec-17,"3,379.40",Dec-17,40.5,Dec-17,215.6,17-Dec,66.1,17-Dec,"4,266.20",17-Dec,84.3,17-Dec,15.3,17-Dec,535.5,17-Dec,214.6,Dec-17,4.2,17-Dec,39.8,17-Dec,7.4,17-Dec,16.1,17-Dec,74.9,Dec-17,45.5,Dec-17,430.8,Dec-17,30.1,Dec-17,27.9,Dec-17,"1,347.50",Dec-17,"14,933.70",Dec-17,67.3,Dec-17,"2,711.50",Dec-17,1273.6,Dec-17,13365.7,Dec-17,"2,208.20",Dec-17,304.2,Dec-17,"12,168.30",Dec-17,232.7,Dec-17,1536.2,17-Dec,412,17-Dec,"12,532.40",17-Dec,311.8,17-Dec,46.7,17-Dec,"1,601.30",17-Dec,860,Dec-17,37.3,17-Dec,217.4,17-Dec,38,17-Dec,95.9,17-Dec,745.1,Dec-17,640.8,Dec-17,4703.8,Dec-17,329,Dec-17,933.4
